,CRN,Subject,Course,Section,Campus,Credit,title,Days,time,Section capacity,Section Actual,Section Remaining,Waitlist Capacity,Waitlist Actual,Waitlist Remaining,Crosslist Capacity,Crosslist Actual,Crosslist Remaining,Instructor,Data(MM/DD),Location ,Attribute,detail
1024,24064.0,COMM,3110,80,1,3,Research Methods-Communication,M,11:10 am-12:00 pm,18.0,18.0,0.0,0.0,0.0,0.0,20.0,20.0,0,Meina Liu (P),08/27-12/10,ON LINE, ,"Processes of inquiry within interpersonal and public communication. Students are introduced to concepts of framing research questions, conducting literature reviews, developing a research design, using qualitative and quantitative research tools, and interpreting results of research in communication. Prerequisite: COMM 2100."
1025,21098.0,COMM,3170,10,1,3,Organizational Communication,M,07:10 pm-09:40 pm,30.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0,Joseph Nicholas McDonald (P),08/27-12/10,PHIL 416, ,"Exploration of the philosophy, process, problems, and potential of human communication within organizational contexts. May involve experiential workshops and fieldwork."
1026,24063.0,COMM,3170,11,1,3,Organizational Communication,M,03:30 pm-06:00 pm,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Mary Ann DiMola (P),08/27-12/10,TOMP 206, ,"Exploration of the philosophy, process, problems, and potential of human communication within organizational contexts. May involve experiential workshops and fieldwork."
1027,23651.0,COMM,3171,10,1,3,Professional Communication,R,08:00 am-10:30 am,25.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Susan K. Tomasovic (P),08/27-12/10,GELM 609, ,"Principles and theories of communication applied to situations encountered in organizational and professional environments. Development of knowledge and abilities for workplace tasks, such as interviewing, facilitating meetings, providing performance appraisals, designing and delivering instructional materials and other professional presentations."
1028,21321.0,COMM,3174,DE,J,3,Intercultural Communication,W,07:10 pm-09:40 pm,30.0,32.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,Erin Melissa Berman (P),08/27-12/10,ON LINE,GWSB-Cult.&Political Diversity,"Exploration of the process, trends, rewards, and difficulties of human communication in intercultural contexts, with an eye toward establishing guidelines for mitigating miscommunication across cultures. May involve fieldwork."
1029,25618.0,COMM,3175,10,1,3,Strategic Communication,T,07:10 pm-09:40 pm,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Tesfa Alexander (P),08/27-12/10,MON 351, ,Exploration of the strategies and techniques employed in successful communication in the face of obstacles such as shrinking budgets and technological expansion. Emphasis on the principles of communication planning through a strategic matrix in an evolving communication environment.
103,24420.0,AMST,2010,86,1,0,Discussion,F,12:45 pm-02:00 pm,20.0,17.0,3.0,999.0,0.0,999.0,20.0,20.0,0,Nicole Ivy (P),08/27-12/10,LISH 335,GWSB-Foreign Cultures Option and GenEd:Crit Analysis Humanities and CCAS: Oral Communication and CCAS:GlobalCrossCultural and SPHHS-Humanities Courses,"How culture was important in the creation of the United States—in its origins as a colonial outpost and its expansion across the continent; in its hierarchies and expressions of power, especially as organized by race, class, ethnicity, or gender; in the creation of democracy and the valuing of free expression; and in the development of cities and the varied uses of the countryside. Same as HIST 2010."
1030,21302.0,COMM,3176,10,1,3,Issues and Image Management,R,03:30 pm-06:00 pm,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Farah Latif (P),08/27-12/10,DUQUES 250, ,"The issues and image management function in corporate, professional, and nonprofit organizations. Assignments may include in-class collaboration on case studies of communication campaigns and crisis communication strategies, interviews with professionals in the practice of communication management, and a communication audit of strategies and messages of a selected organization."
1031,27062.0,COMM,3177,10,1,3,Corporate Ethical Comm,T,12:45 pm-03:15 pm,30.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Cheryl Williams Wood (P),08/27-12/10,TOMP 206, ,"How businesses analyze their communication methods in the context of internal ethical standards. General codes of ethics, marketing ethics, corporate social responsibility, consumer protection, environmental protection, and ethical issues that corporate decision makers face in developing policies that affect employees, customers, and society as a whole."
1032,21442.0,COMM,4150,10,1,3,Persuasion,M,12:45 pm-03:15 pm,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Clay Warren (P),08/27-12/10,DUQUES 152,GWSB-Moral Reasoning Elective and Sust Minor: Green Leaf Track C and Sustainability Courses,"In-depth study of the principles and techniques of persuasion from both production and consumption perspectives, in both personal and mediated contexts. Emphasis on the common-premise model, with consideration of such topic areas as pathos/ethos/logos, attitude and behavior change, effectiveness, ethics, and subconscious influence. Prerequisite: COMM 1025."
1033,20594.0,COMM,4196,10,IR1,1.000-3.000,Independent Study, ,TBA,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Clay Warren (P),08/27-12/10,TBA, ,"Independent research and special projects. Before students are permitted to register, they must submit a written proposal of the plan of study and obtain approval of the faculty member who directs the study and of the program chair. Restricted to seniors and juniors in the communication program; juniors must receive permission of the department prior to enrollment."
1034,28552.0,COMM,4196,11,IR1,1.000-3.000,Independent Study, ,TBA,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0,Clay Warren (P),08/27-12/10,SEE DEPT,CCAS - GCR:Social & Behavioral,"Independent research and special projects. Before students are permitted to register, they must submit a written proposal of the plan of study and obtain approval of the faculty member who directs the study and of the program chair. Restricted to seniors and juniors in the communication program; juniors must receive permission of the department prior to enrollment."
1035,24417.0,COMM,4199W,10,1,3,Senior Seminar,T,03:30 pm-06:00 pm,15.0,16.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,Katrina L. Pariera (P),08/27-12/10,PHIL 108, ,"Capstone course limited to communication majors. Students work on an individually designed research project throughout the term, the results of which are presented in a major paper. Selected reading and discussion. Restricted to students in the communication program. Prerequisites: COMM 2100 and COMM 3110."
1036,24945.0,COMM,6100,80,1,3,Communication Theory,TR,11:10 am-12:25 pm,5.0,6.0,-1.0,999.0,0.0,999.0,29.0,28.0,1,Kristin Froemling Ball (P),08/27-12/10,1957 E 316, ,"Theories of human communication; interpersonal, small group, intercultural, and media communication. Additional work is required when taken for graduate credit. Restricted to students in the MA in communication management program."
1037,24946.0,COMM,6110,80,1,3,Research Methods in Comm,M,11:10 am-12:00 pm,2.0,2.0,0.0,0.0,0.0,0.0,20.0,20.0,0,Meina Liu (P),08/27-12/10,ON LINE, ,Graduate-level study of communication-based quantitative and qualitative research methods. Restricted to students in the MA in communication management program.
1038,25620.0,COMM,6150,80,1,3,Persuasion,W,06:10 pm-08:00 pm,5.0,5.0,0.0,0.0,0.0,0.0,10.0,7.0,3,Clay Warren (P),08/27-12/10,DUQUES 152, ,"Principles, techniques, and ethics of persuasion from both sender and receiver perspectives, and across both personal and mediated contexts; the common-premise model with special consideration of such topics as audience analysis; systems of ethics; persuasive claims; pathos/ethos/logos; attitude and behavior change; sender, message, channel, and receiver characteristics; subconscious influence. Restricted to students in the MA in communication management program."
1039,26789.0,COMM,6190,80,1,3,Leadership Communication,M,03:30 pm-06:00 pm,12.0,12.0,0.0,0.0,0.0,0.0,24.0,24.0,0,Lucian Lu (P),08/27-12/10,1957 E 314, ,Leadership as a function of human communication; theories of leadership and communication strategies employed by leaders in a variety of contexts; leadership as a form of social action; effectiveness and social implications of the strategies employed in leadership communication. Open to undergraduate students with the permission of the instructor. Restricted to graduate students.
104,24882.0,AMST,2010,88,1,0,Discussion,F,02:20 pm-03:35 pm,20.0,11.0,9.0,999.0,0.0,999.0,20.0,20.0,0,Nicole Ivy (P),08/27-12/10,PHIL 348,GWSB-Foreign Cultures Option and GenEd:Crit Analysis Humanities and CCAS: Oral Communication and CCAS:GlobalCrossCultural and SPHHS-Humanities Courses,"How culture was important in the creation of the United States—in its origins as a colonial outpost and its expansion across the continent; in its hierarchies and expressions of power, especially as organized by race, class, ethnicity, or gender; in the creation of democracy and the valuing of free expression; and in the development of cities and the varied uses of the countryside. Same as HIST 2010."
1040,26790.0,COMM,6190,81,1,3,Leadership Communication,M,03:30 pm-06:00 pm,12.0,12.0,0.0,0.0,0.0,0.0,24.0,24.0,0,Lucian Lu (P),08/27-12/10,1957 E 314, ,Leadership as a function of human communication; theories of leadership and communication strategies employed by leaders in a variety of contexts; leadership as a form of social action; effectiveness and social implications of the strategies employed in leadership communication. Open to undergraduate students with the permission of the instructor. Restricted to graduate students.
1041,26806.0,COMM,6196,10,IR1,3,Independent Study, ,TBA,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,Clay Warren (P),08/27-12/10,TBA, ,"Directed research and study in a specific area of communication management, which must be pre-approved by department faculty prior to registration. Restricted to graduate students."
1042,27064.0,COMM,6242,G80,B,3,Org Communication/Conflict Mgt,T,02:00 pm-04:30 pm,12.0,5.0,7.0,0.0,0.0,0.0,24.0,16.0,8,Kristin Froemling Ball (P),08/27-12/10,ARLGTN 606, ,"Models for effective organizational communication and constructive conflict resolution; organizational communication principles and theoretical and practical approaches to conflict analysis, management, and resolution. Restricted to graduate students. (Same as ORSC 6242)."
1043,27065.0,COMM,6242,G81,B,3,Org Communication/Conflict Mgt,T,02:00 pm-04:30 pm,12.0,11.0,1.0,0.0,0.0,0.0,24.0,16.0,8,Kristin Froemling Ball (P),08/27-12/10,ARLGTN 606, ,"Models for effective organizational communication and constructive conflict resolution; organizational communication principles and theoretical and practical approaches to conflict analysis, management, and resolution. Restricted to graduate students. (Same as ORSC 6242)."
1044,22660.0,CPED,920,10,IR1,1,Continuing Research - Masters, ,TBA,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0,A Jonathan Eakle (P),08/27-12/10,TBA, ,
1045,22661.0,CPED,940,10,IR1,1,Continuing Research - Doctoral, ,TBA,20.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0,A Jonathan Eakle (P),08/27-12/10,TBA, ,
1046,27046.0,CPED,6100,QA,A,3,Curr Implementation & Eval,M,04:30 pm-06:30 pm,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0,Jonathon Grooms (P),08/27-12/10,ARLGTN 601, ,Includes a significant engagement in writing as a form of critical inquiry and scholarly expression to satisfy the WID requirement.
1047,23696.0,CPED,6100W,10,1,2,Pedagogy Learning Assistants I,R,06:10 pm-08:00 pm,30.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0,Tiffany-Rose Julia Sikorski (P),08/27-12/10,PHIL 416, ,Includes a significant engagement in writing as a form of critical inquiry and scholarly expression to satisfy the WID requirement.
1048,28017.0,CPED,6100W,11,1,2,PedagogyLearning Assistants I,R,11:10 am-01:00 pm,19.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0,Tiffany-Rose Julia Sikorski (P),08/27-12/10,GSEHD B09, ,Includes a significant engagement in writing as a form of critical inquiry and scholarly expression to satisfy the WID requirement.
1049,22662.0,CPED,6101,10,IR1,3,Research and Independent Study, ,TBA,10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0,A Jonathan Eakle (P),08/27-12/10,TBA, ,Individual research under the guidance of a staff member; program and conferences arranged with an instructor.
105,25006.0,AMST,2071,80,1,3,Intro - The Arts in America,MW,03:45 pm-05:00 pm,70.0,24.0,46.0,999.0,0.0,999.0,70.0,68.0,2,David V Bjelajac (P),08/27-12/10,SMTH 114,CCAS: Arts,"A survey of American art from the period of colonial exploration and settlement to the postmodern present. Political and social meanings of painting, sculpture, architecture, prints, and photographs. The relationship of art to religion and nationalism; issues of class, race, and gender. Same as AH 2071."
1050,24760.0,CPED,6101,12,IR1,3,Research and Independent Study, ,TBA,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,Sylven S Beck (P),08/27-12/10,TBA, ,Individual research under the guidance of a staff member; program and conferences arranged with an instructor.
1051,25436.0,CPED,6101,13,IR1,1.000-3.000,Research and Independent Study, ,TBA,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,Colin Green (P),08/27-12/10,TBA, ,Individual research under the guidance of a staff member; program and conferences arranged with an instructor.
1052,27596.0,CPED,6101,14,IR1,3,Research and Independent Study, ,TBA,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,Michael Brian Casemore (P),08/27-12/10,TBA, ,Individual research under the guidance of a staff member; program and conferences arranged with an instructor.
1053,28291.0,CPED,6101,15,IR1,1.000-3.000,Research and Independent Study, ,TBA,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,Tiffany-Rose Julia Sikorski (P),08/27-12/10,TBA, ,Individual research under the guidance of a staff member; program and conferences arranged with an instructor.
1054,22663.0,CPED,6101,OE,IR3,3,Research and Independent Study, ,TBA,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,TBA,08/27-12/10,TBA, ,Individual research under the guidance of a staff member; program and conferences arranged with an instructor.
1055,25366.0,CPED,6239,10,IN1,3.000-6.000,Practicum-Curriculum/Instructn, ,TBA,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,Lottie Louise Baker (P),08/27-12/10,TBA, ,Supervised field experience in curriculum and instruction. Permission of the instructor required prior to enrollment.
1056,25855.0,CPED,6239,11,IN1,3,Practicum-Curriculum/Instructn, ,TBA,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,TBA,08/27-12/10,TBA, ,Supervised field experience in curriculum and instruction. Permission of the instructor required prior to enrollment.
1057,25854.0,CPED,6239,12,IN1,3,Practicum-Curriculum/Instructn, ,TBA,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,Maia G. Sheppard (P),08/27-12/10,TBA, ,Supervised field experience in curriculum and instruction. Permission of the instructor required prior to enrollment.
1058,27863.0,CPED,6339,10,1,3,Teachers as Researchers,R,06:10 pm-08:30 pm,24.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0,Catharine L Ferguson (P),08/27-12/10,MON 350, ,"Qualitative and quantitative methods of research in teaching and learning with a focus on practitioner-based research. Prepares teachers to develop an inquiry stance towards their practice and provides them with the knowledge, experiences, and skills to systematically examine their own practice and student learning."
1059,23309.0,CPED,6353,11,IN1,3.000-6.000,Post-Master's Internship-CPED, ,TBA,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,A Jonathan Eakle (P),08/27-12/10,TBA, ,"Supervised professional internship in curriculum, instruction, teaching, research, or policymaking. Internships are individually arranged. (Same as SPED 8353)."
